#,abstract_target,target_type,nonword_target,related_prime,unrelated_prime
1,happiness,abstract,druid,noun-smile,cucumber
2,freedom,abstract,sythra,noun-freedom,plant
3,love,abstract,omnira,noun-love-,volcano
4,beauty,abstract,kelvion,beauty,watches
5,hate,abstract,thalara,noun-hate,Scientist
